S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,5/27/2019,1,10000,1100000,110,110,110
2,2/24/2019,1,66000,7260000,110,110,110
3,2/10/2019,1,1733,190630,110,110,110
4,5/25/2015,1,21423,2356530,110,110,110
5,12/10/2014,1,12950,1670550,129,129,129
6,10/21/2013,1,1053,113724,108,108,108
7,6/27/2013,1,24530,2649240,108,108,108
8,7/20/2010,2,2000,370000,185,185,185
9,7/12/2010,1,3584,663040,185,185,185
10,7/5/2010,2,3310,612350,185,185,185
11,6/24/2010,1,500,92500,185,185,185
